City,County,Latitude,Longitude,State,0-4,5-9,10-14,15-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,F,M
Leicester,Worcester,42.2458,-71.9092,MA,0.05,0.06,0.07,0.06,0.13,0.11,0.11,0.18,0.12,0.08,0.03,0.52,0.48
Lenox,Berkshire,42.3564,-73.2853,MA,0.02,0.04,0.05,0.05,0.1,0.08,0.09,0.12,0.13,0.15,0.17,0.54,0.46
Leominster,Worcester,42.525,-71.7603,MA,0.07,0.06,0.05,0.06,0.12,0.13,0.14,0.14,0.12,0.07,0.04,0.52,0.48
Leverett,Franklin,42.4519,-72.5285,MA,0.03,0.05,0.06,0.06,0.1,0.09,0.13,0.12,0.18,0.13,0.05,0.5,0.5
Lexington,Middlesex,42.4482,-71.2247,MA,0.07,0.04,0.08,0.1,0.05,0.08,0.18,0.15,0.12,0.07,0.06,0.52,0.48
Leyden,Franklin,42.7,-72.63,MA,0.02,0.05,0.03,0.06,0.05,0.14,0.12,0.23,0.19,0.09,0.02,0.49,0.51
Lincoln,Middlesex,42.4258,-71.3044,MA,0.07,0.06,0.07,0.08,0.07,0.1,0.12,0.17,0.11,0.07,0.08,0.5,0.5
Littleton,Middlesex,42.5375,-71.5125,MA,0.05,0.06,0.07,0.08,0.07,0.11,0.14,0.18,0.12,0.07,0.05,0.51,0.49
Longmeadow,Hampden,42.0505,-72.5829,MA,0.06,0.05,0.07,0.07,0.09,0.11,0.12,0.15,0.12,0.08,0.08,0.54,0.46
Lowell,Middlesex,42.6394,-71.3147,MA,0.02,0.07,0.05,0.06,0.22,0.14,0.12,0.15,0.1,0.04,0.03,0.49,0.51
Ludlow,Hampden,42.16,-72.4764,MA,0.05,0.05,0.06,0.06,0.12,0.12,0.11,0.16,0.14,0.07,0.06,0.49,0.51
Lunenburg,Worcester,42.5951,-71.7246,MA,0.03,0.05,0.07,0.09,0.08,0.11,0.15,0.17,0.13,0.08,0.04,0.52,0.48
